City,Sub_Area,Property_Type,Land_Type,BHK,Year_Listed,Price
Guntur,Gorantla,Residency,Residential,5,2017,15562000.0
Eluru,Ashok Nagar,Land,Residential,0,2020,12353000.0
Kurnool,Kurnool City,Residency,Residential,2,2016,21666000.0
Kadapa,Nagarajupalli,Residency,Residential,4,2015,11307000.0
Srikakulam,Narasannapeta Road,Land,Residential,0,2016,11408000.0
Kakinada,Indrapalem,Residency,Residential,2,2024,21036000.0
Visakhapatnam,Seethammadhara,Residency,Residential,3,2016,8343000.0
Kurnool,Venkataramana Colony,Residency,Residential,1,2020,15955000.0
Guntur,Lakshmipuram,Residency,Residential,1,2016,6972000.0
Guntur,Syamala Nagar,Land,Commercial,0,2017,10305000.0
Guntur,Pattabhipuram,Land,Commercial,0,2019,12371000.0
Srikakulam,Amadalavalasa Road,Land,Residential,0,2021,16492000.0
Chittoor,Irala,Land,Commercial,0,2017,8316000.0
Anantapur,Rudrampeta,Land,Residential,0,2016,8277000.0
Tirupati,Bairagipatteda,Land,Agricultural,0,2018,8688000.0
Eluru,Powerpet,Residency,Residential,5,2024,33606000.0
Eluru,Sanivarapupeta,Land,Residential,0,2018,10466000.0
Chittoor,Murakambattu,Land,Industrial,0,2016,5339000.0
Tirupati,Korlagunta,Residency,Residential,2,2019,23034000.0
Kadapa,Kadapa City,Land,Agricultural,0,2015,3256000.0
Chittoor,Puttur Road,Land,Industrial,0,2024,9872000.0
Eluru,Vatluru,Residency,Residential,3,2017,22402000.0
Vijayawada,Bhavanipuram,Residency,Residential,3,2024,30196000.0
Ongole,Pernamitta,Residency,Residential,2,2022,10629000.0
Rajahmundry,Innespeta,Land,Commercial,0,2022,29563000.0
Kurnool,Joharapuram,Residency,Residential,2,2016,19389000.0
Chittoor,Bangarupalem,Land,Residential,0,2022,7343000.0
Tirupati,Bairagipatteda,Land,Commercial,0,2023,29947000.0
Tirupati,Bairagipatteda,Land,Agricultural,0,2020,9821000.0
Guntur,Tenali Road,Residency,Residential,2,2021,10555000.0
Kakinada,Sambamurthy Nagar,Residency,Residential,3,2023,22253000.0
Kadapa,Rayachoti Road,Residency,Residential,4,2022,18645000.0
Rajahmundry,Lalacheruvu,Residency,Residential,2,2022,21249000.0
Chittoor,Irala,Residency,Residential,5,2020,17679000.0
Kakinada,Ramanayyapeta,Residency,Residential,5,2017,27256000.0
Kurnool,Nandyal Road,Residency,Residential,5,2019,31147000.0
Nellore,Balaji Nagar,Land,Agricultural,0,2021,8101000.0
Eluru,Ashok Nagar,Land,Industrial,0,2017,14641000.0
Kadapa,Kadapa City,Residency,Residential,4,2024,17656000.0
Anantapur,Kalyandurg Road,Land,Residential,0,2015,10386000.0
Eluru,Vatluru,Residency,Residential,4,2017,26153000.0
Eluru,Sanivarapupeta,Land,Agricultural,0,2019,6714000.0
Visakhapatnam,MVP Colony,Land,Industrial,0,2015,5004000.0
Kadapa,Nagarajupalli,Land,Agricultural,0,2024,4778000.0
Rajahmundry,Hukumpeta,Land,Residential,0,2024,22510000.0
Vizianagaram,Dharmapuri,Residency,Residential,5,2018,22957000.0
Kadapa,Chinna Chowk,Land,Commercial,0,2023,11761000.0
Kurnool,Kurnool City,Land,Residential,0,2023,20880000.0
Srikakulam,Balaga,Residency,Residential,5,2023,34193000.0
Kurnool,Nandyal Road,Residency,Residential,4,2023,32540000.0
Kadapa,Kadapa City,Land,Commercial,0,2016,8249000.0
Tirupati,Tiruchanoor Road,Land,Industrial,0,2023,20883000.0
Anantapur,Rudrampeta,Residency,Residential,2,2021,15816000.0
Vizianagaram,Dharmapuri,Residency,Residential,4,2017,19207000.0
Rajahmundry,Korukonda Road,Land,Industrial,0,2021,20854000.0
Anantapur,Kalyandurg Road,Land,Commercial,0,2016,17650000.0
Vijayawada,Bhavanipuram,Residency,Residential,2,2023,23493000.0
Vijayawada,Bhavanipuram,Residency,Residential,3,2023,29368000.0
Guntur,Brodipet,Land,Residential,0,2021,6657000.0
Kadapa,Yerramukkapalli,Residency,Residential,2,2021,8333000.0
Visakhapatnam,Pendurthi,Residency,Residential,3,2016,10233000.0
Kurnool,Nandyal Road,Residency,Residential,2,2016,15615000.0
Guntur,Brodipet,Residency,Residential,3,2023,12834000.0
Anantapur,Maruthi Nagar,Land,Residential,0,2022,12231000.0
Vizianagaram,Gajularega,Residency,Residential,5,2024,30640000.0
Eluru,Chintalapudi Road,Land,Industrial,0,2024,24623000.0
Nellore,Atmakur Bus Stand,Residency,Residential,2,2021,21126000.0
Anantapur,Gooty Road,Residency,Residential,1,2017,13686000.0
Guntur,Lakshmipuram,Residency,Residential,4,2018,15721000.0
Eluru,Ashok Nagar,Land,Agricultural,0,2015,5875000.0
Vijayawada,Enikepadu,Residency,Residential,2,2023,25983000.0
Kurnool,Nandyal Road,Land,Agricultural,0,2024,9830000.0
Kurnool,C-Camp,Land,Agricultural,0,2016,7318000.0
Kakinada,Ramanayyapeta,Land,Agricultural,0,2016,5569000.0
Eluru,Sanivarapupeta,Land,Agricultural,0,2015,5258000.0
Rajahmundry,Innespeta,Residency,Residential,1,2024,22358000.0
Tirupati,Alipiri,Land,Industrial,0,2019,15294000.0
Vizianagaram,Nellimarla,Residency,Residential,5,2024,37939000.0
Nellore,Vedayapalem,Residency,Residential,1,2022,12560000.0
Visakhapatnam,Steel Plant,Residency,Residential,2,2018,8763000.0
Chittoor,Bangarupalem,Residency,Residential,4,2018,13169000.0
Chittoor,Puttur Road,Land,Commercial,0,2020,9478000.0
Kakinada,Indrapalem,Land,Commercial,0,2015,14215000.0
Vizianagaram,Dharmapuri,Residency,Residential,5,2020,27137000.0
Srikakulam,Navabharat Junction,Land,Industrial,0,2022,18275000.0
Nellore,Mini Bypass,Land,Residential,0,2020,11217000.0
Vizianagaram,Bondapalli,Land,Industrial,0,2023,19058000.0
Guntur,Arundalpet,Land,Agricultural,0,2022,4362000.0
Kurnool,C-Camp,Residency,Residential,4,2020,32941000.0
Chittoor,Gangadhara Nellore,Land,Residential,0,2018,5808000.0
Vizianagaram,Cantonment,Land,Industrial,0,2019,11282000.0
Vijayawada,Gunadala,Land,Industrial,0,2024,21303000.0
Guntur,Pattabhipuram,Residency,Residential,2,2020,12682000.0
Eluru,Eluru City,Residency,Residential,2,2019,20650000.0
Chittoor,Murakambattu,Residency,Residential,2,2018,6942000.0
Srikakulam,Arasavilli,Residency,Residential,2,2018,15438000.0
Kakinada,Turangi,Land,Commercial,0,2019,20081000.0
Eluru,Eluru City,Land,Commercial,0,2021,24662000.0
Visakhapatnam,Muralinagar,Land,Residential,0,2018,5336000.0
Srikakulam,Ponduru Road,Land,Agricultural,0,2023,10934000.0
Vizianagaram,Nellimarla,Land,Industrial,0,2018,15652000.0
Tirupati,Tiruchanoor Road,Residency,Residential,5,2016,30835000.0
Eluru,Vatluru,Land,Residential,0,2024,16669000.0
Kurnool,Panyam,Land,Commercial,0,2019,24062000.0
Nellore,Muthukur Road,Land,Industrial,0,2022,19352000.0
Eluru,Sanivarapupeta,Land,Residential,0,2020,12797000.0
Vijayawada,Gollapudi,Residency,Residential,3,2019,24735000.0
Vijayawada,Patamata,Land,Residential,0,2020,12270000.0
Visakhapatnam,Muralinagar,Land,Residential,0,2024,7313000.0
Visakhapatnam,Steel Plant,Land,Industrial,0,2017,7102000.0
Chittoor,Gangadhara Nellore,Residency,Residential,4,2017,12651000.0
Rajahmundry,Kotipalli,Land,Agricultural,0,2018,9408000.0
Kadapa,Mariyapuram,Land,Commercial,0,2015,7086000.0
Rajahmundry,Innespeta,Land,Agricultural,0,2019,9976000.0
Nellore,Muthukur Road,Residency,Residential,4,2024,34575000.0
Srikakulam,Srikakulam City,Residency,Residential,2,2024,21985000.0
Kadapa,Kamalapuram,Residency,Residential,1,2019,7941000.0
Chittoor,Irala,Land,Commercial,0,2017,8905000.0
Visakhapatnam,Steel Plant,Land,Commercial,0,2020,10436000.0
Vizianagaram,Gajularega,Residency,Residential,1,2022,13103000.0
Vizianagaram,Nellimarla,Land,Agricultural,0,2016,6243000.0
Eluru,Chintalapudi Road,Land,Residential,0,2018,12484000.0
Vijayawada,Gollapudi,Land,Industrial,0,2018,16754000.0
Eluru,Powerpet,Land,Residential,0,2016,9015000.0
Nellore,Mini Bypass,Land,Agricultural,0,2024,8779000.0
Tirupati,Renigunta,Land,Commercial,0,2019,19381000.0
Nellore,Muthukur Road,Residency,Residential,2,2024,23961000.0
Kurnool,Budhavarapeta,Residency,Residential,5,2018,33394000.0
Vizianagaram,Gajularega,Residency,Residential,1,2019,10587000.0
Ongole,Santhapet,Residency,Residential,3,2021,13955000.0
Kakinada,NFCL Road,Land,Residential,0,2018,13233000.0
Chittoor,Puttur Road,Residency,Residential,4,2024,14962000.0
Ongole,Koppolu,Residency,Residential,2,2018,12589000.0
Chittoor,Irala,Residency,Residential,5,2024,19325000.0
Kurnool,Budhavarapeta,Land,Industrial,0,2015,14385000.0
Vijayawada,Benz Circle,Residency,Residential,4,2016,21206000.0
Srikakulam,Navabharat Junction,Residency,Residential,4,2019,27807000.0
Guntur,Amaravathi Road,Residency,Residential,5,2021,18072000.0
Ongole,Bhagya Nagar,Residency,Residential,2,2015,10312000.0
Vizianagaram,Denkada,Residency,Residential,3,2016,19745000.0
Kakinada,Jagannaickpur,Residency,Residential,3,2018,23705000.0
Nellore,Kovur,Residency,Residential,3,2024,27914000.0
Visakhapatnam,Muralinagar,Land,Commercial,0,2018,8014000.0
Visakhapatnam,Anakapalle,Land,Commercial,0,2020,9631000.0
Tirupati,MR Palli,Residency,Residential,5,2020,38130000.0
Kakinada,Sambamurthy Nagar,Land,Industrial,0,2019,13590000.0
Eluru,Chintalapudi Road,Residency,Residential,5,2015,29911000.0
Tirupati,Chandragiri,Residency,Residential,1,2016,17472000.0
Tirupati,TUDA Layout,Residency,Residential,3,2019,32432000.0
Vijayawada,Gollapudi,Land,Industrial,0,2019,17478000.0
Kakinada,Sarpavaram,Land,Residential,0,2019,12399000.0
Visakhapatnam,Pendurthi,Residency,Residential,4,2016,12248000.0
Rajahmundry,Hukumpeta,Residency,Residential,5,2021,49076000.0
Kurnool,Kallur,Land,Residential,0,2022,15462000.0
Kakinada,Sambamurthy Nagar,Land,Industrial,0,2015,10556000.0
Chittoor,Chittoor City,Residency,Residential,4,2022,14197000.0
Eluru,Fathepur,Residency,Residential,3,2021,29130000.0
Nellore,Magunta Layout,Residency,Residential,2,2017,12976000.0
Chittoor,Greamspet,Land,Residential,0,2017,4076000.0
Kadapa,Yerramukkapalli,Residency,Residential,4,2021,13063000.0
Srikakulam,Gujarathipeta,Land,Residential,0,2019,11775000.0
Nellore,Vedayapalem,Land,Residential,0,2022,11632000.0
Chittoor,Puttur Road,Land,Commercial,0,2021,10056000.0
Ongole,Santhapet,Land,Residential,0,2022,7963000.0
Kadapa,Ravindra Nagar,Land,Industrial,0,2022,8125000.0
Ongole,Kurnool Road,Residency,Residential,4,2019,16613000.0
Kurnool,Joharapuram,Land,Agricultural,0,2019,8783000.0
Kakinada,Sambamurthy Nagar,Land,Agricultural,0,2020,6972000.0
Tirupati,TUDA Layout,Land,Agricultural,0,2016,8879000.0
Vizianagaram,Poolbagh,Residency,Residential,5,2019,22625000.0
Eluru,Powerpet,Land,Residential,0,2020,11205000.0
Nellore,Mini Bypass,Residency,Residential,1,2020,12462000.0
Anantapur,Sai Nagar,Residency,Residential,5,2021,31572000.0
Nellore,Muthukur Road,Land,Residential,0,2018,11770000.0
Nellore,Balaji Nagar,Residency,Residential,4,2016,24299000.0
Visakhapatnam,Rushikonda,Land,Industrial,0,2022,8534000.0
Visakhapatnam,Rushikonda,Residency,Residential,5,2017,12625000.0
Guntur,Nallapadu,Land,Commercial,0,2015,10008000.0
Eluru,Tangellamudi,Residency,Residential,3,2017,27779000.0
Guntur,Syamala Nagar,Land,Agricultural,0,2019,4632000.0
Vizianagaram,Bondapalli,Land,Agricultural,0,2015,5158000.0
Eluru,Powerpet,Residency,Residential,4,2021,25310000.0
Tirupati,Chandragiri,Land,Residential,0,2016,14141000.0
Eluru,Fathepur,Residency,Residential,2,2015,19361000.0
Nellore,Podalakur Road,Residency,Residential,1,2019,11780000.0
Kurnool,Venkataramana Colony,Residency,Residential,5,2022,38248000.0
Rajahmundry,Prakash Nagar,Residency,Residential,2,2017,17528000.0
Nellore,VRC Centre,Land,Residential,0,2020,12156000.0
Vijayawada,Gollapudi,Residency,Residential,5,2021,38073000.0
Nellore,VRC Centre,Residency,Residential,3,2018,21006000.0
Eluru,Fathepur,Land,Industrial,0,2024,25092000.0
Anantapur,Sai Nagar,Residency,Residential,4,2024,31446000.0
Kurnool,Kallur,Land,Agricultural,0,2015,6170000.0
Kadapa,Akkayapalli,Land,Industrial,0,2017,7442000.0
Visakhapatnam,Pendurthi,Land,Industrial,0,2019,7873000.0
Kurnool,Joharapuram,Land,Commercial,0,2015,16445000.0
Ongole,Santhapet,Land,Agricultural,0,2020,4500000.0
Eluru,Ramachandra Rao Peta,Land,Commercial,0,2020,24865000.0
Anantapur,Housing Board,Land,Commercial,0,2020,17958000.0
Srikakulam,Gujarathipeta,Land,Agricultural,0,2020,7202000.0
Vizianagaram,Bondapalli,Residency,Residential,5,2023,35183000.0
Vizianagaram,Vizianagaram City,Residency,Residential,2,2018,14906000.0
Rajahmundry,Korukonda Road,Residency,Residential,1,2022,18715000.0
Kurnool,C-Camp,Land,Residential,0,2023,18942000.0
Srikakulam,Palakonda Road,Residency,Residential,5,2023,45037000.0
Kadapa,Nagarajupalli,Residency,Residential,4,2018,12713000.0
Kakinada,Indrapalem,Residency,Residential,2,2020,18145000.0
Srikakulam,Day and Night Junction,Residency,Residential,3,2023,28055000.0
Nellore,Atmakur Bus Stand,Land,Residential,0,2015,10351000.0
Ongole,Pernamitta,Residency,Residential,5,2016,15844000.0
Anantapur,Kalyandurg Road,Land,Industrial,0,2024,22906000.0
Vijayawada,Gollapudi,Land,Agricultural,0,2022,9947000.0
Anantapur,Sai Nagar,Land,Agricultural,0,2015,5404000.0
Visakhapatnam,MVP Colony,Land,Residential,0,2017,4726000.0
Kurnool,Abbas Nagar,Land,Commercial,0,2019,23134000.0
Kadapa,Nagarajupalli,Residency,Residential,5,2019,15585000.0
Vijayawada,Gollapudi,Land,Agricultural,0,2021,9526000.0
Vijayawada,Kanuru,Land,Industrial,0,2022,18014000.0
Guntur,Syamala Nagar,Residency,Residential,2,2023,13567000.0
Srikakulam,Navabharat Junction,Land,Agricultural,0,2019,7507000.0
Vijayawada,Gollapudi,Land,Industrial,0,2022,20610000.0
Chittoor,Bangarupalem,Land,Commercial,0,2021,10163000.0
Tirupati,Chandragiri,Residency,Residential,2,2019,25150000.0
Vijayawada,Penamaluru,Land,Agricultural,0,2016,6224000.0
Visakhapatnam,Anakapalle,Land,Commercial,0,2017,8097000.0
Nellore,Muthukur Road,Residency,Residential,5,2017,30687000.0
Srikakulam,Arasavilli,Residency,Residential,4,2019,22737000.0
Srikakulam,Amadalavalasa Road,Land,Industrial,0,2016,16157000.0
Guntur,Brodipet,Residency,Residential,2,2021,8940000.0
Vijayawada,Patamata,Residency,Residential,4,2022,28153000.0
Guntur,Arundalpet,Residency,Residential,5,2017,14882000.0
Vijayawada,Gunadala,Residency,Residential,2,2016,16265000.0
Vizianagaram,Cantonment,Land,Residential,0,2022,10143000.0
Ongole,Pernamitta,Land,Agricultural,0,2018,3763000.0
Vijayawada,Gunadala,Residency,Residential,2,2016,16069000.0
Tirupati,Chandragiri,Land,Industrial,0,2018,20948000.0
Chittoor,Gangadhara Nellore,Land,Industrial,0,2018,7735000.0
Tirupati,Korlagunta,Residency,Residential,1,2018,16551000.0
Anantapur,GeorgePeta,Residency,Residential,3,2020,17790000.0
Anantapur,Rapthadu Road,Land,Residential,0,2021,13475000.0
Anantapur,GeorgePeta,Residency,Residential,3,2021,19972000.0
Vizianagaram,Simhachalam Road,Residency,Residential,4,2018,23158000.0
Guntur,Tenali Road,Residency,Residential,4,2024,19296000.0
Kakinada,Sarpavaram,Land,Agricultural,0,2015,6070000.0
Srikakulam,Srikakulam City,Land,Agricultural,0,2021,8366000.0
Rajahmundry,Lalacheruvu,Land,Commercial,0,2015,15947000.0
Kurnool,Budhavarapeta,Residency,Residential,2,2019,20691000.0
Rajahmundry,Morampudi,Land,Industrial,0,2015,16056000.0
Vijayawada,Poranki,Land,Residential,0,2024,18705000.0
Nellore,Balaji Nagar,Land,Residential,0,2016,10350000.0
Ongole,Ongole City,Land,Industrial,0,2023,12918000.0
Nellore,VRC Centre,Land,Commercial,0,2022,19800000.0
Chittoor,Bangarupalem,Residency,Residential,1,2021,7070000.0
Srikakulam,Palakonda Road,Residency,Residential,2,2024,27131000.0
Vijayawada,Benz Circle,Residency,Residential,1,2022,13345000.0
Eluru,Fathepur,Land,Industrial,0,2021,22739000.0
Visakhapatnam,Anakapalle,Residency,Residential,5,2024,19771000.0
Tirupati,Korlagunta,Residency,Residential,2,2016,20526000.0
Srikakulam,Palakonda Road,Residency,Residential,1,2018,15685000.0
Vijayawada,Gunadala,Land,Commercial,0,2020,19529000.0
Eluru,Vatluru,Residency,Residential,4,2021,29227000.0
Visakhapatnam,Madhurawada,Residency,Residential,1,2024,6012000.0
Kadapa,Mydukur Road,Residency,Residential,1,2022,8408000.0
Visakhapatnam,Steel Plant,Residency,Residential,3,2019,11935000.0
Tirupati,MR Palli,Land,Industrial,0,2017,17645000.0
Vijayawada,Kanuru,Land,Residential,0,2023,14241000.0
Nellore,Podalakur Road,Residency,Residential,3,2022,20993000.0
Tirupati,Bairagipatteda,Residency,Residential,5,2015,34475000.0
Guntur,Tenali Road,Residency,Residential,4,2015,12422000.0
Srikakulam,Balaga,Land,Agricultural,0,2022,7858000.0
Kurnool,Budhavarapeta,Land,Residential,0,2024,19087000.0
Vijayawada,Poranki,Residency,Residential,5,2020,40320000.0
Visakhapatnam,Anakapalle,Land,Agricultural,0,2019,3733000.0
Anantapur,Housing Board,Land,Residential,0,2020,11659000.0
Vijayawada,Enikepadu,Land,Industrial,0,2020,20319000.0
Vizianagaram,Pusapatirega,Residency,Residential,3,2015,19327000.0
Chittoor,Vellore Road,Residency,Residential,3,2015,8376000.0
Ongole,Pelluru,Land,Industrial,0,2019,11884000.0
Visakhapatnam,Kurmannapalem,Land,Agricultural,0,2023,4063000.0
Vizianagaram,Simhachalam Road,Residency,Residential,5,2016,24974000.0
Anantapur,Sai Nagar,Residency,Residential,1,2020,13620000.0
Nellore,Balaji Nagar,Land,Commercial,0,2016,14671000.0
Kadapa,Mydukur Road,Land,Residential,0,2015,5586000.0
Kakinada,Bhanugudi,Land,Commercial,0,2024,20584000.0
Kadapa,Ravindra Nagar,Land,Industrial,0,2018,6403000.0
Rajahmundry,Bommuru,Land,Industrial,0,2019,18913000.0
Kurnool,Abbas Nagar,Land,Residential,0,2024,20324000.0
Tirupati,Alipiri,Residency,Residential,1,2017,12786000.0
Vizianagaram,Poolbagh,Residency,Residential,5,2015,19363000.0
Kakinada,Sarpavaram,Land,Residential,0,2018,12086000.0
Visakhapatnam,Madhurawada,Land,Residential,0,2019,4334000.0
Kadapa,Kamalapuram,Residency,Residential,5,2016,17623000.0
Kurnool,Abbas Nagar,Residency,Residential,5,2018,40353000.0
Srikakulam,Srikakulam City,Land,Agricultural,0,2015,5937000.0
Kadapa,Kamalapuram,Residency,Residential,1,2020,8936000.0
Anantapur,Rudrampeta,Land,Industrial,0,2016,11067000.0
Rajahmundry,Danavaipeta,Land,Industrial,0,2018,14240000.0
Anantapur,Gooty Road,Residency,Residential,1,2020,15267000.0
Kurnool,Kurnool City,Residency,Residential,2,2022,26907000.0
Tirupati,Renigunta,Residency,Residential,1,2018,14392000.0
Guntur,Tenali Road,Residency,Residential,5,2024,20610000.0
Eluru,Vatluru,Residency,Residential,4,2019,27875000.0
Guntur,Inner Ring Road,Land,Industrial,0,2016,7724000.0
Kakinada,Sambamurthy Nagar,Residency,Residential,1,2017,10760000.0
Srikakulam,Gujarathipeta,Land,Residential,0,2023,14988000.0
Nellore,Ramalingapuram,Residency,Residential,1,2023,18471000.0
Eluru,Kaikaluru Road,Residency,Residential,3,2023,28197000.0
Kakinada,Bhanugudi,Residency,Residential,5,2024,32749000.0
Anantapur,Bukkarayasamudram,Land,Industrial,0,2022,17701000.0
Nellore,Atmakur Bus Stand,Residency,Residential,4,2019,30846000.0
Chittoor,Greamspet,Residency,Residential,1,2017,4378000.0
Kurnool,Kallur,Land,Agricultural,0,2016,6192000.0
Guntur,Tenali Road,Land,Commercial,0,2016,8862000.0
Vizianagaram,Simhachalam Road,Land,Industrial,0,2016,11439000.0
Kakinada,Ramanayyapeta,Land,Commercial,0,2016,13996000.0
Eluru,Vatluru,Residency,Residential,5,2022,37012000.0
Eluru,Ashok Nagar,Land,Industrial,0,2018,14821000.0
Kadapa,Nagarajupalli,Land,Agricultural,0,2023,4422000.0
Tirupati,MR Palli,Residency,Residential,2,2023,24510000.0
Tirupati,Korlagunta,Residency,Residential,3,2016,26213000.0
Rajahmundry,Danavaipeta,Residency,Residential,2,2023,20681000.0
Kadapa,Yerramukkapalli,Residency,Residential,3,2017,8518000.0
Nellore,Magunta Layout,Land,Agricultural,0,2015,4362000.0
Vizianagaram,Dharmapuri,Residency,Residential,2,2015,11808000.0
Kurnool,Kallur,Land,Industrial,0,2016,14379000.0
Eluru,Powerpet,Land,Industrial,0,2016,12304000.0
Kurnool,Kurnool City,Land,Agricultural,0,2017,8643000.0
Kadapa,Chinna Chowk,Land,Commercial,0,2015,7011000.0
Guntur,Lakshmipuram,Residency,Residential,5,2015,15268000.0
Tirupati,Bairagipatteda,Land,Agricultural,0,2024,12471000.0
Vizianagaram,Denkada,Residency,Residential,2,2017,16922000.0
Eluru,Powerpet,Residency,Residential,1,2019,12246000.0
Srikakulam,Arasavilli,Land,Residential,0,2022,12572000.0
Tirupati,Bairagipatteda,Residency,Residential,4,2015,29832000.0
Kakinada,Ramanayyapeta,Residency,Residential,3,2022,23225000.0
Kurnool,Nandyal Road,Land,Agricultural,0,2018,7103000.0
Kadapa,Mydukur Road,Residency,Residential,2,2017,9821000.0
Anantapur,Anantapur City,Land,Residential,0,2016,11985000.0
Nellore,Mini Bypass,Land,Commercial,0,2020,16710000.0
Vizianagaram,Denkada,Land,Industrial,0,2016,13196000.0
Kurnool,Nandyal Road,Land,Agricultural,0,2023,9521000.0
Nellore,Muthukur Road,Residency,Residential,4,2016,25555000.0
Nellore,Atmakur Bus Stand,Residency,Residential,4,2017,28170000.0
Kurnool,Abbas Nagar,Residency,Residential,3,2020,28793000.0
Anantapur,Gooty Road,Residency,Residential,2,2018,19256000.0
Rajahmundry,Danavaipeta,Land,Industrial,0,2018,15158000.0
Nellore,VRC Centre,Residency,Residential,3,2015,17887000.0
Chittoor,Vellore Road,Residency,Residential,1,2020,6001000.0
Srikakulam,Arasavilli,Land,Commercial,0,2019,15606000.0
Rajahmundry,Morampudi,Land,Agricultural,0,2019,9682000.0
Rajahmundry,Kotipalli,Land,Residential,0,2020,18169000.0
Vijayawada,Penamaluru,Residency,Residential,4,2022,31061000.0
Chittoor,Murakambattu,Residency,Residential,5,2023,14314000.0
Vijayawada,Gollapudi,Land,Agricultural,0,2024,10951000.0
Rajahmundry,Prakash Nagar,Land,Agricultural,0,2023,9195000.0
Vizianagaram,Gajularega,Land,Commercial,0,2021,16764000.0
Vijayawada,Patamata,Residency,Residential,1,2021,13726000.0
Ongole,Ongole City,Residency,Residential,1,2020,9097000.0
Vijayawada,Enikepadu,Residency,Residential,1,2024,19541000.0
Nellore,Atmakur Bus Stand,Land,Industrial,0,2024,22801000.0
Kadapa,Mydukur Road,Land,Industrial,0,2017,7841000.0
Tirupati,Karakambadi,Land,Agricultural,0,2020,10618000.0
