Transaction_ID,City,Location,Transaction_Date,Transaction_Type,Property_Type,Price,Formatted Price
TXN00049,Nellore,Atmakur Bus Stand,2015-05-10,Sale,Commercial,16169000.0,"₹ 1,61,69,000 (1.62 Crore)"
TXN00050,Nellore,Atmakur Bus Stand,2018-09-16,Lease,Industrial,14313000.0,"₹ 1,43,13,000 (1.43 Crore)"
TXN00051,Vijayawada,Benz Circle,2019-04-26,Sale,Industrial,10467000.0,"₹ 1,04,67,000 (1.05 Crore)"
TXN00052,Vijayawada,Benz Circle,2016-08-14,Lease,Residential,8036000.0,"₹ 80,36,000 (80.36 Lakh)"
TXN00053,Kakinada,Bhanugudi,2025-12-01,Sale,Agricultural,4851000.0,"₹ 48,51,000 (48.51 Lakh)"
TXN00054,Nellore,Atmakur Bus Stand,2016-08-05,Resale,Commercial,16181000.0,"₹ 1,61,81,000 (1.62 Crore)"
TXN00055,Rajahmundry,Bommuru,2023-07-27,Lease,Industrial,15560000.0,"₹ 1,55,60,000 (1.56 Crore)"
TXN00056,Anantapur,Anantapur City,2025-05-25,Lease,Agricultural,7134000.0,"₹ 71,34,000 (71.34 Lakh)"
TXN00057,Anantapur,Anantapur City,2018-05-11,Resale,Industrial,13652000.0,"₹ 1,36,52,000 (1.37 Crore)"
TXN00058,Rajahmundry,Bommuru,2017-12-07,Sale,Commercial,16296000.0,"₹ 1,62,96,000 (1.63 Crore)"
TXN00059,Nellore,Atmakur Bus Stand,2021-07-25,Lease,Industrial,14668000.0,"₹ 1,46,68,000 (1.47 Crore)"
TXN00060,Tirupati,Alipiri,2021-07-18,Lease,Agricultural,5782000.0,"₹ 57,82,000 (57.82 Lakh)"
TXN00061,Rajahmundry,Bommuru,2022-01-13,Resale,Commercial,16311000.0,"₹ 1,63,11,000 (1.63 Crore)"
TXN00062,Nellore,Atmakur Bus Stand,2021-10-19,Lease,Agricultural,6822000.0,"₹ 68,22,000 (68.22 Lakh)"
TXN00063,Tirupati,Alipiri,2019-07-11,Sale,Agricultural,5937000.0,"₹ 59,37,000 (59.37 Lakh)"
TXN00064,Anantapur,Anantapur City,2016-08-01,Lease,Industrial,14171000.0,"₹ 1,41,71,000 (1.42 Crore)"
TXN00065,Rajahmundry,Bommuru,2025-01-25,Sale,Industrial,16056000.0,"₹ 1,60,56,000 (1.61 Crore)"
TXN00066,Visakhapatnam,Anakapalle,2025-02-19,Sale,Residential,4941000.0,"₹ 49,41,000 (49.41 Lakh)"
TXN00067,Anantapur,Anantapur City,2026-02-25,Sale,Industrial,14182000.0,"₹ 1,41,82,000 (1.42 Crore)"
TXN00068,Guntur,Amaravathi Road,2021-07-23,Sale,Residential,4820000.0,"₹ 48,20,000 (48.20 Lakh)"
TXN00069,Kadapa,Akkayapalli,2025-10-26,Sale,Commercial,8344000.0,"₹ 83,44,000 (83.44 Lakh)"
TXN00070,Kakinada,Bhanugudi,2023-11-11,Sale,Industrial,10147000.0,"₹ 1,01,47,000 (1.01 Crore)"
TXN00071,Nellore,Atmakur Bus Stand,2022-12-05,Resale,Residential,10197000.0,"₹ 1,01,97,000 (1.02 Crore)"
TXN00072,Vijayawada,Benz Circle,2026-10-09,Resale,Industrial,10798000.0,"₹ 1,07,98,000 (1.08 Crore)"
TXN00073,Visakhapatnam,Anakapalle,2024-11-13,Resale,Industrial,6612000.0,"₹ 66,12,000 (66.12 Lakh)"
TXN00074,Tirupati,Alipiri,2019-06-09,Lease,Industrial,12931000.0,"₹ 1,29,31,000 (1.29 Crore)"
TXN00075,Guntur,Amaravathi Road,2021-08-18,Sale,Residential,4963000.0,"₹ 49,63,000 (49.63 Lakh)"
TXN00076,Anantapur,Anantapur City,2021-12-08,Resale,Agricultural,7251000.0,"₹ 72,51,000 (72.51 Lakh)"
TXN00077,Kakinada,Bhanugudi,2020-06-23,Resale,Agricultural,5176000.0,"₹ 51,76,000 (51.76 Lakh)"
TXN00078,Guntur,Amaravathi Road,2020-02-24,Lease,Industrial,6304000.0,"₹ 63,04,000 (63.04 Lakh)"
TXN00079,Vijayawada,Benz Circle,2023-10-10,Sale,Commercial,12826000.0,"₹ 1,28,26,000 (1.28 Crore)"
TXN00080,Visakhapatnam,Anakapalle,2026-09-05,Resale,Commercial,7642000.0,"₹ 76,42,000 (76.42 Lakh)"
TXN00081,Tirupati,Alipiri,2015-10-10,Resale,Industrial,13035000.0,"₹ 1,30,35,000 (1.30 Crore)"
TXN00082,Anantapur,Anantapur City,2022-02-27,Sale,Industrial,14509000.0,"₹ 1,45,09,000 (1.45 Crore)"
TXN00083,Nellore,Atmakur Bus Stand,2024-05-03,Sale,Residential,10276000.0,"₹ 1,02,76,000 (1.03 Crore)"
TXN00084,Kadapa,Akkayapalli,2022-05-28,Lease,Agricultural,2996000.0,"₹ 29,96,000 (29.96 Lakh)"
TXN00085,Nellore,Atmakur Bus Stand,2019-11-03,Sale,Residential,10351000.0,"₹ 1,03,51,000 (1.04 Crore)"
TXN00086,Visakhapatnam,Anakapalle,2026-10-16,Resale,Residential,5133000.0,"₹ 51,33,000 (51.33 Lakh)"
TXN00087,Tirupati,Alipiri,2025-04-09,Lease,Industrial,13543000.0,"₹ 1,35,43,000 (1.35 Crore)"
TXN00088,Kakinada,Bhanugudi,2017-05-27,Sale,Agricultural,5176000.0,"₹ 51,76,000 (51.76 Lakh)"
TXN00089,Kadapa,Akkayapalli,2024-05-15,Sale,Commercial,8378000.0,"₹ 83,78,000 (83.78 Lakh)"
TXN00090,Anantapur,Anantapur City,2022-02-20,Sale,Agricultural,7558000.0,"₹ 75,58,000 (75.58 Lakh)"
TXN00091,Nellore,Atmakur Bus Stand,2024-10-01,Lease,Industrial,15062000.0,"₹ 1,50,62,000 (1.51 Crore)"
TXN00092,Guntur,Amaravathi Road,2022-05-06,Lease,Residential,5175000.0,"₹ 51,75,000 (51.75 Lakh)"
TXN00093,Nellore,Atmakur Bus Stand,2020-11-04,Sale,Residential,10398000.0,"₹ 1,03,98,000 (1.04 Crore)"
TXN00094,Kurnool,Abbas Nagar,2023-01-15,Sale,Agricultural,7554000.0,"₹ 75,54,000 (75.54 Lakh)"
TXN00095,Kurnool,Abbas Nagar,2015-11-28,Lease,Industrial,15499000.0,"₹ 1,54,99,000 (1.55 Crore)"
TXN00096,Anantapur,Anantapur City,2022-11-15,Sale,Residential,11150000.0,"₹ 1,11,50,000 (1.11 Crore)"
TXN00097,Visakhapatnam,Anakapalle,2016-01-21,Lease,Commercial,7679000.0,"₹ 76,79,000 (76.79 Lakh)"
TXN00098,Visakhapatnam,Anakapalle,2018-02-15,Sale,Industrial,6859000.0,"₹ 68,59,000 (68.59 Lakh)"
TXN00099,Vijayawada,Benz Circle,2018-08-18,Sale,Industrial,11148000.0,"₹ 1,11,48,000 (1.11 Crore)"
TXN00100,Nellore,Atmakur Bus Stand,2023-05-27,Sale,Commercial,17023000.0,"₹ 1,70,23,000 (1.70 Crore)"
TXN00101,Guntur,Amaravathi Road,2020-06-18,Lease,Agricultural,3078000.0,"₹ 30,78,000 (30.78 Lakh)"
TXN00102,Nellore,Atmakur Bus Stand,2021-04-28,Resale,Industrial,15449000.0,"₹ 1,54,49,000 (1.54 Crore)"
TXN00103,Tirupati,Alipiri,2025-03-16,Sale,Agricultural,6264000.0,"₹ 62,64,000 (62.64 Lakh)"
TXN00104,Vijayawada,Benz Circle,2022-01-24,Sale,Industrial,11197000.0,"₹ 1,11,97,000 (1.12 Crore)"
TXN00105,Nellore,Atmakur Bus Stand,2026-07-21,Sale,Residential,10556000.0,"₹ 1,05,56,000 (1.06 Crore)"
TXN00106,Kurnool,Abbas Nagar,2022-09-02,Lease,Agricultural,7903000.0,"₹ 79,03,000 (79.03 Lakh)"
TXN00107,Kadapa,Akkayapalli,2016-11-23,Sale,Industrial,6799000.0,"₹ 67,99,000 (67.99 Lakh)"
TXN00108,Anantapur,Anantapur City,2015-05-12,Resale,Industrial,14609000.0,"₹ 1,46,09,000 (1.46 Crore)"
TXN00109,Nellore,Atmakur Bus Stand,2017-03-06,Sale,Commercial,17138000.0,"₹ 1,71,38,000 (1.71 Crore)"
TXN00110,Kakinada,Bhanugudi,2022-11-09,Resale,Commercial,11635000.0,"₹ 1,16,35,000 (1.16 Crore)"
TXN00111,Guntur,Amaravathi Road,2016-08-12,Lease,Agricultural,3081000.0,"₹ 30,81,000 (30.81 Lakh)"
TXN00112,Guntur,Amaravathi Road,2022-02-08,Resale,Industrial,6418000.0,"₹ 64,18,000 (64.18 Lakh)"
TXN00113,Kakinada,Bhanugudi,2019-01-19,Lease,Industrial,10286000.0,"₹ 1,02,86,000 (1.03 Crore)"
TXN00114,Tirupati,Alipiri,2020-04-21,Sale,Agricultural,6617000.0,"₹ 66,17,000 (66.17 Lakh)"
TXN00115,Kakinada,Bhanugudi,2019-08-02,Lease,Commercial,12215000.0,"₹ 1,22,15,000 (1.22 Crore)"
TXN00116,Kurnool,Abbas Nagar,2017-04-05,Lease,Residential,12215000.0,"₹ 1,22,15,000 (1.22 Crore)"
TXN00117,Kurnool,Abbas Nagar,2019-12-28,Resale,Industrial,15941000.0,"₹ 1,59,41,000 (1.59 Crore)"
TXN00118,Kadapa,Akkayapalli,2025-07-28,Lease,Residential,5563000.0,"₹ 55,63,000 (55.63 Lakh)"
TXN00119,Kurnool,Abbas Nagar,2022-06-22,Lease,Agricultural,7955000.0,"₹ 79,55,000 (79.55 Lakh)"
TXN00120,Guntur,Amaravathi Road,2022-01-20,Lease,Agricultural,3092000.0,"₹ 30,92,000 (30.92 Lakh)"
TXN00121,Kurnool,Abbas Nagar,2026-05-21,Resale,Commercial,19388000.0,"₹ 1,93,88,000 (1.94 Crore)"
TXN00122,Kadapa,Akkayapalli,2016-04-18,Sale,Residential,5631000.0,"₹ 56,31,000 (56.31 Lakh)"
TXN00123,Nellore,Atmakur Bus Stand,2017-07-21,Sale,Industrial,15530000.0,"₹ 1,55,30,000 (1.55 Crore)"
TXN00124,Anantapur,Anantapur City,2018-08-15,Sale,Agricultural,7660000.0,"₹ 76,60,000 (76.60 Lakh)"
TXN00125,Kurnool,Abbas Nagar,2018-02-28,Resale,Industrial,15985000.0,"₹ 1,59,85,000 (1.60 Crore)"
TXN00126,Kadapa,Akkayapalli,2024-04-03,Lease,Residential,5666000.0,"₹ 56,66,000 (56.66 Lakh)"
TXN00127,Visakhapatnam,Anakapalle,2024-01-09,Sale,Commercial,7879000.0,"₹ 78,79,000 (78.79 Lakh)"
TXN00128,Vijayawada,Benz Circle,2015-03-01,Resale,Industrial,11326000.0,"₹ 1,13,26,000 (1.13 Crore)"
TXN00129,Visakhapatnam,Anakapalle,2017-12-14,Lease,Industrial,6877000.0,"₹ 68,77,000 (68.77 Lakh)"
TXN00130,Kadapa,Akkayapalli,2016-08-17,Sale,Agricultural,3117000.0,"₹ 31,17,000 (31.17 Lakh)"
TXN00131,Kakinada,Bhanugudi,2022-07-14,Lease,Industrial,10286000.0,"₹ 1,02,86,000 (1.03 Crore)"
TXN00132,Kadapa,Akkayapalli,2017-02-05,Resale,Agricultural,3151000.0,"₹ 31,51,000 (31.51 Lakh)"
TXN00133,Kakinada,Bhanugudi,2022-09-20,Resale,Industrial,10497000.0,"₹ 1,04,97,000 (1.05 Crore)"
TXN00134,Kadapa,Akkayapalli,2020-08-13,Resale,Commercial,8412000.0,"₹ 84,12,000 (84.12 Lakh)"
TXN00135,Kadapa,Akkayapalli,2017-11-16,Sale,Agricultural,3191000.0,"₹ 31,91,000 (31.91 Lakh)"
TXN00136,Kadapa,Akkayapalli,2020-03-18,Sale,Residential,5842000.0,"₹ 58,42,000 (58.42 Lakh)"
TXN00137,Kakinada,Bhanugudi,2025-07-28,Lease,Industrial,10681000.0,"₹ 1,06,81,000 (1.07 Crore)"
TXN00138,Tirupati,Alipiri,2018-03-22,Resale,Industrial,14139000.0,"₹ 1,41,39,000 (1.41 Crore)"
TXN00139,Visakhapatnam,Anakapalle,2018-07-28,Lease,Industrial,6937000.0,"₹ 69,37,000 (69.37 Lakh)"
TXN00140,Kakinada,Bhanugudi,2026-05-11,Resale,Residential,8234000.0,"₹ 82,34,000 (82.34 Lakh)"
TXN00141,Tirupati,Alipiri,2025-01-03,Lease,Commercial,14935000.0,"₹ 1,49,35,000 (1.49 Crore)"
TXN00142,Rajahmundry,Bommuru,2020-05-24,Resale,Agricultural,7379000.0,"₹ 73,79,000 (73.79 Lakh)"
TXN00143,Kakinada,Bhanugudi,2024-01-22,Sale,Residential,8301000.0,"₹ 83,01,000 (83.01 Lakh)"
TXN00144,Guntur,Amaravathi Road,2019-04-25,Lease,Agricultural,3106000.0,"₹ 31,06,000 (31.06 Lakh)"
TXN00145,Kadapa,Akkayapalli,2024-08-17,Lease,Agricultural,3382000.0,"₹ 33,82,000 (33.82 Lakh)"
TXN00146,Guntur,Amaravathi Road,2018-05-07,Sale,Commercial,8170000.0,"₹ 81,70,000 (81.70 Lakh)"
TXN00147,Guntur,Amaravathi Road,2021-03-05,Resale,Industrial,6675000.0,"₹ 66,75,000 (66.75 Lakh)"
TXN00148,Rajahmundry,Bommuru,2021-01-15,Sale,Industrial,16101000.0,"₹ 1,61,01,000 (1.61 Crore)"
TXN00149,Kurnool,Abbas Nagar,2019-02-13,Sale,Agricultural,8052000.0,"₹ 80,52,000 (80.52 Lakh)"
TXN00150,Kurnool,Abbas Nagar,2016-04-14,Lease,Agricultural,8083000.0,"₹ 80,83,000 (80.83 Lakh)"
TXN00151,Nellore,Atmakur Bus Stand,2018-06-25,Sale,Residential,10635000.0,"₹ 1,06,35,000 (1.06 Crore)"
TXN00152,Kadapa,Akkayapalli,2025-03-08,Sale,Residential,5930000.0,"₹ 59,30,000 (59.30 Lakh)"
TXN00153,Vijayawada,Benz Circle,2025-02-06,Lease,Commercial,12956000.0,"₹ 1,29,56,000 (1.30 Crore)"
TXN00154,Anantapur,Anantapur City,2022-02-16,Resale,Agricultural,7714000.0,"₹ 77,14,000 (77.14 Lakh)"
TXN00155,Guntur,Amaravathi Road,2022-08-02,Sale,Residential,5343000.0,"₹ 53,43,000 (53.43 Lakh)"
TXN00156,Kurnool,Abbas Nagar,2021-08-19,Lease,Residential,13175000.0,"₹ 1,31,75,000 (1.32 Crore)"
TXN00157,Tirupati,Alipiri,2017-01-15,Sale,Commercial,15288000.0,"₹ 1,52,88,000 (1.53 Crore)"
TXN00158,Kurnool,Abbas Nagar,2022-09-17,Lease,Commercial,19945000.0,"₹ 1,99,45,000 (1.99 Crore)"
TXN00159,Vijayawada,Benz Circle,2020-11-20,Sale,Industrial,11349000.0,"₹ 1,13,49,000 (1.13 Crore)"
TXN00160,Kurnool,Abbas Nagar,2019-05-24,Lease,Industrial,16535000.0,"₹ 1,65,35,000 (1.65 Crore)"
TXN00161,Kakinada,Bhanugudi,2020-05-21,Lease,Industrial,10784000.0,"₹ 1,07,84,000 (1.08 Crore)"
TXN00162,Nellore,Atmakur Bus Stand,2020-03-22,Lease,Residential,11488000.0,"₹ 1,14,88,000 (1.15 Crore)"
TXN00163,Rajahmundry,Bommuru,2017-04-11,Resale,Agricultural,7727000.0,"₹ 77,27,000 (77.27 Lakh)"
TXN00164,Visakhapatnam,Anakapalle,2016-09-25,Lease,Commercial,7934000.0,"₹ 79,34,000 (79.34 Lakh)"
TXN00165,Rajahmundry,Bommuru,2017-03-27,Lease,Industrial,16242000.0,"₹ 1,62,42,000 (1.62 Crore)"
TXN00166,Kakinada,Bhanugudi,2026-04-15,Lease,Agricultural,5212000.0,"₹ 52,12,000 (52.12 Lakh)"
TXN00167,Guntur,Amaravathi Road,2018-06-22,Lease,Commercial,8501000.0,"₹ 85,01,000 (85.01 Lakh)"
TXN00168,Anantapur,Anantapur City,2017-04-26,Lease,Industrial,14744000.0,"₹ 1,47,44,000 (1.47 Crore)"
TXN00169,Vijayawada,Benz Circle,2026-09-28,Sale,Residential,9114000.0,"₹ 91,14,000 (91.14 Lakh)"
TXN00170,Guntur,Amaravathi Road,2021-02-08,Resale,Commercial,8678000.0,"₹ 86,78,000 (86.78 Lakh)"
TXN00171,Kurnool,Abbas Nagar,2018-07-03,Resale,Agricultural,8092000.0,"₹ 80,92,000 (80.92 Lakh)"
TXN00172,Visakhapatnam,Anakapalle,2017-03-02,Resale,Industrial,7174000.0,"₹ 71,74,000 (71.74 Lakh)"
TXN00173,Anantapur,Anantapur City,2016-01-09,Sale,Agricultural,8283000.0,"₹ 82,83,000 (82.83 Lakh)"
TXN00174,Vijayawada,Benz Circle,2016-01-08,Resale,Agricultural,4830000.0,"₹ 48,30,000 (48.30 Lakh)"
TXN00175,Kakinada,Bhanugudi,2015-11-17,Lease,Residential,8576000.0,"₹ 85,76,000 (85.76 Lakh)"
TXN00176,Visakhapatnam,Anakapalle,2018-10-14,Sale,Industrial,7260000.0,"₹ 72,60,000 (72.60 Lakh)"
TXN00177,Kadapa,Akkayapalli,2023-09-01,Resale,Industrial,7152000.0,"₹ 71,52,000 (71.52 Lakh)"
TXN00178,Anantapur,Anantapur City,2020-02-12,Sale,Agricultural,8408000.0,"₹ 84,08,000 (84.08 Lakh)"
TXN00179,Kadapa,Akkayapalli,2020-11-06,Lease,Industrial,7185000.0,"₹ 71,85,000 (71.85 Lakh)"
TXN00180,Anantapur,Anantapur City,2022-01-10,Sale,Commercial,16487000.0,"₹ 1,64,87,000 (1.65 Crore)"
TXN00181,Tirupati,Alipiri,2023-08-09,Sale,Residential,10756000.0,"₹ 1,07,56,000 (1.08 Crore)"
TXN00182,Visakhapatnam,Anakapalle,2016-06-14,Resale,Industrial,7362000.0,"₹ 73,62,000 (73.62 Lakh)"
TXN00183,Anantapur,Anantapur City,2020-09-09,Sale,Industrial,14919000.0,"₹ 1,49,19,000 (1.49 Crore)"
TXN00184,Nellore,Atmakur Bus Stand,2016-02-11,Lease,Agricultural,7579000.0,"₹ 75,79,000 (75.79 Lakh)"
TXN00185,Guntur,Amaravathi Road,2020-08-02,Lease,Agricultural,3188000.0,"₹ 31,88,000 (31.88 Lakh)"
TXN00186,Kurnool,Abbas Nagar,2025-11-13,Resale,Agricultural,8312000.0,"₹ 83,12,000 (83.12 Lakh)"
TXN00187,Rajahmundry,Bommuru,2022-01-05,Sale,Residential,11525000.0,"₹ 1,15,25,000 (1.15 Crore)"
TXN00188,Visakhapatnam,Anakapalle,2017-11-15,Resale,Industrial,7434000.0,"₹ 74,34,000 (74.34 Lakh)"
TXN00189,Kurnool,Abbas Nagar,2020-11-09,Sale,Residential,13266000.0,"₹ 1,32,66,000 (1.33 Crore)"
TXN00190,Kadapa,Akkayapalli,2023-02-09,Resale,Commercial,8648000.0,"₹ 86,48,000 (86.48 Lakh)"
TXN00191,Anantapur,Anantapur City,2016-08-06,Lease,Industrial,15704000.0,"₹ 1,57,04,000 (1.57 Crore)"
TXN00192,Anantapur,Anantapur City,2023-05-10,Sale,Industrial,16727000.0,"₹ 1,67,27,000 (1.67 Crore)"
TXN00193,Vijayawada,Benz Circle,2022-01-12,Lease,Commercial,13504000.0,"₹ 1,35,04,000 (1.35 Crore)"
TXN00194,Kakinada,Bhanugudi,2019-07-23,Lease,Agricultural,5425000.0,"₹ 54,25,000 (54.25 Lakh)"
TXN00195,Anantapur,Anantapur City,2020-11-03,Resale,Agricultural,8530000.0,"₹ 85,30,000 (85.30 Lakh)"
TXN00196,Anantapur,Anantapur City,2017-03-14,Lease,Industrial,16833000.0,"₹ 1,68,33,000 (1.68 Crore)"
TXN00197,Tirupati,Alipiri,2026-04-12,Lease,Commercial,15936000.0,"₹ 1,59,36,000 (1.59 Crore)"
TXN00198,Guntur,Amaravathi Road,2017-11-10,Lease,Industrial,6731000.0,"₹ 67,31,000 (67.31 Lakh)"
TXN00199,Rajahmundry,Bommuru,2026-10-11,Lease,Commercial,16496000.0,"₹ 1,64,96,000 (1.65 Crore)"
TXN00200,Tirupati,Alipiri,2025-04-25,Lease,Residential,11112000.0,"₹ 1,11,12,000 (1.11 Crore)"
TXN00201,Nellore,Atmakur Bus Stand,2025-05-16,Sale,Residential,11489000.0,"₹ 1,14,89,000 (1.15 Crore)"
TXN00202,Nellore,Atmakur Bus Stand,2022-07-16,Resale,Agricultural,7771000.0,"₹ 77,71,000 (77.71 Lakh)"
TXN00203,Visakhapatnam,Anakapalle,2020-07-05,Resale,Commercial,7987000.0,"₹ 79,87,000 (79.87 Lakh)"
TXN00204,Rajahmundry,Bommuru,2019-08-08,Sale,Residential,11619000.0,"₹ 1,16,19,000 (1.16 Crore)"
TXN00205,Kadapa,Akkayapalli,2017-06-19,Lease,Industrial,7393000.0,"₹ 73,93,000 (73.93 Lakh)"
TXN00206,Kurnool,Abbas Nagar,2019-08-01,Sale,Commercial,20335000.0,"₹ 2,03,35,000 (2.03 Crore)"
TXN00207,Nellore,Atmakur Bus Stand,2015-01-10,Resale,Agricultural,7822000.0,"₹ 78,22,000 (78.22 Lakh)"
TXN00208,Kakinada,Bhanugudi,2019-12-12,Resale,Industrial,11178000.0,"₹ 1,11,78,000 (1.12 Crore)"
TXN00209,Kurnool,Abbas Nagar,2020-09-10,Sale,Agricultural,8529000.0,"₹ 85,29,000 (85.29 Lakh)"
TXN00210,Nellore,Atmakur Bus Stand,2016-03-04,Resale,Agricultural,7867000.0,"₹ 78,67,000 (78.67 Lakh)"
TXN00211,Kurnool,Abbas Nagar,2021-09-02,Sale,Industrial,16636000.0,"₹ 1,66,36,000 (1.66 Crore)"
